Id,Predicted
3753,0.05099
2533,0.106301
3922,0.014141999999999998
2169,0.03
4603,0.063246
1577,0.042426000000000005
476,0.21587
1598,0.05099
901,0.114018
5112,0.148661
3903,0.028283999999999997
1779,0.13
3225,0.142127
4906,0.080623
2648,0.10198
4433,0.05099
3367,0.09848900000000001
5135,0.067082
2164,0.05
3276,0.080623
5632,0.022361
5665,0.09434
5244,0.044721000000000004
817,0.09055400000000001
3692,0.793095
3800,0.233452
2855,0.072801
2244,0.242074
2461,0.15
5692,0.134536
5824,0.133417
2657,0.053852000000000004
4659,0.11
1237,0.072111
2327,0.127279
1584,0.178045
1711,0.092195
4379,0.064031
1360,0.063246
3146,0.171172
4985,0.080623
1966,0.08544
4874,0.10440300000000001
810,0.082462
3093,0.09055400000000001
5813,0.10049899999999999
6077,0.05099
3027,0.060828
3907,0.16970600000000002
3227,0.056569
3120,0.155242
1782,0.294109
1211,0.233452
5525,0.05831
2324,0.05099
2162,0.140357
1723,0.184391
457,0.152643
3032,0.214009
6136,0.12
3876,0.072111
2487,0.072801
619,0.16278800000000002
1582,0.203961
4937,0.063246
4672,0.09434
3849,0.18384799999999998
397,0.10770300000000001
1374,0.07071100000000001
3744,0.067082
1053,0.09434
5196,0.028283999999999997
785,0.028283999999999997
2753,0.080623
4785,0.22561
3644,1.0558880000000002
2196,0.02
1666,0.089443
1911,0.261725
2881,0.269072
2618,0.19
2600,0.064031
4383,0.152643
768,0.067082
4664,0.060828
3287,0.07071100000000001
2991,0.264764
4359,0.238537
3404,0.07071100000000001
3840,0.063246
3717,0.10049899999999999
2167,0.166433
5565,0.042426000000000005
6004,0.078102
5483,0.076158
5753,0.11180300000000001
5858,0.028283999999999997
117,0.064031
4579,0.056569
2751,0.064031
3005,0.05831
1747,0.064031
4942,0.156525
5110,0.09434
4678,0.089443
4610,0.08544
2703,0.18357600000000002
2110,0.07
4770,0.09434
4698,0.06
3461,0.05831
3379,0.036056
3006,0.03
154,0.078102
4449,0.07
2488,0.041231
4741,0.064031
1629,0.08485300000000001
5262,0.082462
910,0.12083
2480,0.09055400000000001
3398,0.12041600000000001
5215,0.05831
2949,0.1772
380,0.07071100000000001
800,0.11180300000000001
645,0.092195
5369,0.106301
152,0.1
2207,0.078102
2130,0.036056
4710,0.092195
220,0.064031
465,0.1
3626,0.05831
2605,0.067082
3247,0.089443
5157,0.092195
1118,0.114018
697,0.072801
2126,0.076158
1461,0.067082
5743,0.08
4368,0.07
4955,0.067082
5929,0.09434
4605,0.196977
1767,0.180278
5063,0.14
281,0.060828
977,0.09055400000000001
905,0.044721000000000004
3560,0.128062
2874,0.247588
829,0.184391
4582,0.140357
913,0.031623
1022,0.141421
4308,0.053852000000000004
4423,0.053852000000000004
3419,0.05
3935,0.09486800000000001
2830,0.053852000000000004
1905,0.11045400000000001
103,0.102956
5190,0.1
3018,0.114018
5861,0.140357
5671,0.250799
53,0.1
4468,0.067082
1130,0.158114
937,0.136015
3019,0.18601099999999998
5426,0.192354
3155,0.07
2008,0.05
3262,0.226274
2210,0.156205
3916,0.242074
771,0.09486800000000001
3416,0.05831
1706,0.134164
1238,0.152971
5067,0.202237
578,0.053852000000000004
926,0.158114
5933,0.106301
505,0.114018
3790,0.064031
1504,0.08485300000000001
4704,0.022361
3530,0.063246
1064,0.07071100000000001
5960,0.161245
5986,0.060828
4962,0.09434
4767,0.03
5879,0.192354
2542,0.05
2602,0.07071100000000001
4524,0.10440300000000001
4699,0.09486800000000001
342,0.067082
1693,0.141421
1586,0.044721000000000004
3801,0.042426000000000005
3718,0.19105
1759,0.064031
3089,0.232594
2582,0.08544
5104,0.102956
4818,0.089443
3538,0.07
2495,0.10049899999999999
60,0.12
2463,0.072111
5410,0.076158
216,0.11704700000000001
1557,0.064031
5510,0.014141999999999998
4450,0.098995
2307,0.10440300000000001
3645,0.09055400000000001
1154,0.14
502,0.05099
558,0.044721000000000004
4231,0.12649100000000002
181,0.136015
6094,0.044721000000000004
382,0.060828
1778,0.041231
1822,0.08544
2342,0.044721000000000004
5145,0.044721000000000004
227,0.04
119,0.05831
5022,0.09
4939,0.09848900000000001
2113,0.056569
5209,0.09055400000000001
4548,0.053852000000000004
4044,0.128062
1953,0.240208
2900,0.05099
1163,0.130384
2138,0.16031199999999998
3451,0.16970600000000002
4080,0.224722
5903,0.466905
4803,0.131529
5568,0.275862
446,0.47010599999999997
842,0.60407
2356,0.060828
5897,0.555428
854,0.47010599999999997
2909,0.147648
2024,0.082462
1492,0.327567
2087,0.284605
1786,0.053852000000000004
4408,0.07
3435,0.044721000000000004
4471,0.076158
535,0.216333
2069,0.250799
1991,0.12083
1501,0.322025
908,0.21377600000000002
5449,0.086023
2051,0.10198
